,params.classifier,params.dataset,params.model,metrics.roc_auc
0,tabnet,wids,ICL,0.33332070337114106
1,tabnet,wids,NeuTraL,0.24041569858718678
2,tabnet,wids,GOAD,0.2880803212416639
3,tabnet,wids,RCA,0.8080935171781019
4,tabnet,wids,RDP,0.8054957333756104
5,tabnet,wids,REPEN,0.7951695522569197
6,tabnet,wids,DeepSVDD,0.74236918813416
7,tabnet,url,SLAD,0.9974382850000268
8,tabnet,url,ICL,0.0
9,tabnet,url,NeuTraL,0.0
10,tabnet,url,GOAD,0.558470900892419
11,tabnet,url,RCA,0.9999391480264442
12,tabnet,url,RDP,0.9999223084865924
13,tabnet,url,REPEN,1.0
14,tabnet,url,DeepSVDD,0.05816319657330673
15,tabnet,heloc_linear,SLAD,0.26734494395292097
16,tabnet,heloc_linear,ICL,0.6063713505323278
17,tabnet,heloc_linear,NeuTraL,0.41473927617477746
18,tabnet,heloc_linear,GOAD,0.21256398111410688
19,tabnet,heloc_linear,SLAD,0.2544400443250605
20,tabnet,heloc_linear,RCA,0.7622226856865736
21,tabnet,heloc_linear,ICL,0.6511380283388907
22,tabnet,heloc_linear,RDP,0.7334113963650435
23,tabnet,heloc_linear,REPEN,0.755489749201571
24,tabnet,heloc_linear,DeepSVDD,0.6762957667557021
25,tabnet,heloc_linear,NeuTraL,0.4546412534644658
