,params.classifier,params.dataset,params.model,metrics.roc_auc
0,tabnet,heloc_linear,SLAD,0.3527058640245848
1,tabnet,heloc_linear,ICL,0.5018186089871322
2,tabnet,heloc_linear,NeuTraL,0.41637382559948133
3,tabnet,heloc_linear,GOAD,0.21935188419198481
4,tabnet,heloc_linear,RCA,0.7631718802218264
5,tabnet,heloc_linear,RDP,0.7245221989652461
6,tabnet,heloc_linear,REPEN,0.7323566659714702
7,tabnet,heloc_linear,DeepSVDD,0.6780022438933686
8,tabnet,wids,ICL,0.19274497461638745
9,tabnet,url,SLAD,0.9964770917196155
10,tabnet,url,ICL,0.0
11,tabnet,wids,NeuTraL,0.5067967001992163
12,tabnet,url,NeuTraL,0.0
13,tabnet,url,GOAD,0.2366634671540948
14,tabnet,url,RCA,1.0
15,tabnet,url,RDP,0.9999982777743333
16,tabnet,wids,GOAD,0.24981979750372119
17,tabnet,url,REPEN,1.0
18,tabnet,url,DeepSVDD,0.057405799996785176
19,tabnet,wids,RCA,0.8080661443465084
20,tabnet,wids,RDP,0.7447370686399035
21,tabnet,wids,REPEN,0.7811014836929382
22,tabnet,wids,DeepSVDD,0.7766783379862399
