,params.classifier,params.dataset,params.model,metrics.roc_auc
0,tabnet,heloc_linear,SLAD,0.29454413901562493
1,tabnet,heloc_linear,ICL,0.2784673065538684
2,tabnet,heloc_linear,NeuTraL,0.16757320164542425
3,tabnet,heloc_linear,GOAD,0.31004255233025874
4,tabnet,heloc_linear,RCA,0.6113386711952785
5,tabnet,heloc_linear,RDP,0.5946489214265311
6,tabnet,heloc_linear,REPEN,0.5777374634836978
7,tabnet,heloc_linear,DeepSVDD,0.5823937951149686
8,tabnet,wids,RCA,0.8071741627773926
9,tabnet,wids,RDP,0.7090202000182377
10,tabnet,wids,REPEN,0.8047494325462817
11,tabnet,wids,DeepSVDD,0.7249219245393033
12,tabnet,url,SLAD,0.9553918675738586
13,tabnet,url,ICL,1.3969163740796646e-05
14,tabnet,url,NeuTraL,0.0
15,tabnet,url,GOAD,0.1889572421120151
16,tabnet,url,RCA,0.9942577169104956
17,tabnet,url,RDP,0.9999875617035184
18,tabnet,url,REPEN,0.9997456846765546
19,tabnet,url,DeepSVDD,0.09135507777188395
