,params.classifier,params.dataset,params.model,metrics.roc_auc
0,tabnet,wids,ICL,0.4818546848095978
1,tabnet,wids,NeuTraL,0.49843791770468904
2,tabnet,wids,GOAD,0.4471349621773168
3,tabnet,wids,RCA,0.5265018502963816
4,tabnet,wids,RDP,0.5271396669461929
5,tabnet,wids,REPEN,0.5258640336465704
6,tabnet,wids,DeepSVDD,0.46590926856431786
7,tabnet,url,SLAD,0.5500874890638671
8,tabnet,url,ICL,0.449912510936133
9,tabnet,url,NeuTraL,0.449912510936133
10,tabnet,url,GOAD,0.5500874890638671
11,tabnet,url,RCA,0.5500874890638671
12,tabnet,url,RDP,0.5500874890638671
13,tabnet,url,REPEN,0.5500874890638671
14,tabnet,url,DeepSVDD,0.4844706911636046
15,tabnet,heloc_linear,SLAD,0.48195240265884215
16,tabnet,heloc_linear,ICL,0.4984565523274989
17,tabnet,heloc_linear,NeuTraL,0.4383467285854973
18,tabnet,heloc_linear,GOAD,0.456515759449391
19,tabnet,heloc_linear,RCA,0.5073890458682934
20,tabnet,heloc_linear,RDP,0.4828608542020369
21,tabnet,heloc_linear,REPEN,0.48467775728842627
22,tabnet,heloc_linear,DeepSVDD,0.4837693057452315
